DATE,DKL
2000-06-28,8.233
2000-06-29,-14.471
2000-06-30,-20.273
2000-07-03,-10.416
2000-07-04,50.797
2000-07-05,-0.807
2000-07-06,1.46
2000-07-07,69.543
2000-07-10,54.279
2000-07-11,2.461
2000-07-12,41.154
2000-07-13,-18.429
2000-07-14,37.709
2000-07-17,-6.262
2000-07-18,35.13
2000-07-19,-4.349
2000-07-20,-0.117
2000-07-21,21.034
2000-07-24,-11.51
2000-07-25,22.781
2000-07-26,43.139
2000-07-27,0.272
2000-07-28,7.541
2000-07-31,19.801
2000-08-01,7.337
2000-08-02,12.944
2000-08-03,12.581
2000-08-04,-26.37
2000-08-07,41.602
2000-08-08,25.323
2000-08-09,12.505
2000-08-10,-10.724
2000-08-11,0.447
2000-08-14,39.014
2000-08-15,-1.155
2000-08-16,18.87
2000-08-17,15.033
2000-08-18,10.444
2000-08-21,52.786
2000-08-22,-72.636
2000-08-23,-11.419
2000-08-24,31.332
2000-08-25,39.137
2000-08-28,34.953
2000-08-29,-0.097
2000-08-30,-43.675
2000-08-31,-63.122
2000-09-01,-7.606
2000-09-04,43.268
2000-09-05,-53.075
2000-09-06,-36.22
2000-09-07,72.698
2000-09-08,5.216
2000-09-11,11.339
2000-09-12,32.935
2000-09-13,25.728
2000-09-14,-7.201
2000-09-15,17.933
2000-09-18,-53.07
2000-09-19,-54.161
2000-09-20,58.31
2000-09-21,-32.501
2000-09-22,-19.684
2000-09-25,-33.637
2000-09-26,12.986
2000-09-27,73.003
2000-09-28,-49.367
2000-09-29,71.389
2000-10-09,27.553
2000-10-10,62.21
2000-10-11,-11.213
2000-10-12,2.571
2000-10-13,-13.211
2000-10-16,-14.109
2000-10-17,20.8
2000-10-18,46.678
2000-10-19,-29.64
2000-10-20,56.619
2000-10-23,40.608
2000-10-24,6.775
2000-10-25,43.385
2000-10-26,-11.827
2000-10-27,26.267
2000-10-30,27.725
2000-10-31,-19.367
2000-11-01,61.571
2000-11-02,16.046
2000-11-03,-9.618
2000-11-06,24.135
2000-11-07,23.322
2000-11-08,33.63
2000-11-09,48.466
2000-11-10,26.03
2000-11-13,55.88
2000-11-14,29.378
2000-11-15,4.759
2000-11-16,51.49
2000-11-17,-6.069
2000-11-20,30.008
2000-11-21,-18.53
2000-11-22,64.659
2000-11-23,4.493
2000-11-24,-80.319
2000-11-27,41.867
2000-11-28,70.015
2000-11-29,-28.066
2000-11-30,3.522
2000-12-01,34.426
2000-12-04,36.883
2000-12-05,-14.094
2000-12-06,-33.607
2000-12-07,4.528
2000-12-08,8.559
2000-12-11,-53.088
2000-12-12,67.306
2000-12-13,-7.263
2000-12-14,-25.283
2000-12-15,-36.907
2000-12-18,12.779
2000-12-19,-12.501
2000-12-20,27.803
2000-12-21,1.698
2000-12-22,-6.658
2000-12-25,-4.904
2000-12-26,28.365
2000-12-27,-37.593
2000-12-28,1.417
2000-12-29,44.658
2001-01-02,77.196
2001-01-03,41.584
2001-01-04,-10.023
2001-01-05,37.429
2001-01-08,-27.297
2001-01-09,-6.34
2001-01-10,75.092
2001-01-11,-17.37
2001-01-12,-32.727
2001-01-15,-89.193
2001-01-16,68.979
2001-01-17,-22.41
2001-01-18,19.434
2001-01-19,65.923
2001-02-05,-71.311
2001-02-06,10.261
2001-02-07,-36.438
2001-02-08,-80.896
2001-02-09,75.906
2001-02-12,20.87
2001-02-13,-6.027
2001-02-14,14.736
2001-02-15,-55.015
2001-02-16,-2.824
2001-02-19,62.472
2001-02-20,-33.532
2001-02-21,-64.448
2001-02-22,19.359
2001-02-23,63.388
2001-02-26,50.171
2001-02-27,15.664
2001-02-28,-13.321
2001-03-01,-6.702
2001-03-02,47.091
2001-03-05,-12.878
2001-03-06,33.422
2001-03-07,11.887
2001-03-08,23.553
2001-03-09,-5.627
2001-03-12,13.88
2001-03-13,-27.962
2001-03-14,78.589
2001-03-15,20.443
2001-03-16,1.437
2001-03-19,49.048
2001-03-20,19.386
2001-03-21,39.336
2001-03-22,35.097
2001-03-23,-54.314
2001-03-26,80.954
2001-03-27,23.031
2001-03-28,2.507
2001-03-29,1.102
2001-03-30,40.827
2001-04-02,15.928
2001-04-03,-12.579
2001-04-04,-73.477
2001-04-05,85.68
2001-04-06,-20.573
2001-04-09,38.169
2001-04-10,31.277
2001-04-11,-2.521
2001-04-12,3.674
2001-04-13,32.688
2001-04-16,45.366
2001-04-17,3.724
2001-04-18,-10.25
2001-04-19,5.201
2001-04-20,-45.101
2001-04-23,6.466
2001-04-24,30.893
2001-04-25,-69.0
2001-04-26,-23.285
2001-04-27,49.874
2001-04-30,7.399
2001-05-08,50.046
2001-05-09,2.063
2001-05-10,39.285
2001-05-11,17.306
2001-05-14,46.083
2001-05-15,15.543
2001-05-16,13.881
2001-05-17,-20.065
2001-05-18,44.677
2001-05-21,18.809
2001-05-22,-8.371
2001-05-23,-28.069
2001-05-24,8.867
2001-05-25,-11.565
2001-05-28,-32.674
2001-05-29,21.591
2001-05-30,68.851
2001-05-31,8.355
2001-06-01,18.474
2001-06-04,23.323
2001-06-05,9.954
2001-06-06,11.704
2001-06-07,-22.476
2001-06-08,-14.834
2001-06-11,5.118
2001-06-12,42.52
2001-06-13,44.932
2001-06-14,-68.462
2001-06-15,49.655
2001-06-18,-66.803
2001-06-19,35.054
2001-06-20,-25.899
2001-06-21,79.604
2001-06-22,50.762
2001-06-25,56.046
2001-06-26,18.147
2001-06-27,-2.602
2001-06-28,-27.007
2001-06-29,-5.684
2001-07-02,-31.526
2001-07-03,24.416
2001-07-04,-21.521
2001-07-05,-51.254
2001-07-06,-21.473
2001-07-09,27.395
2001-07-10,51.913
2001-07-11,-48.861
2001-07-12,4.499
2001-07-13,-34.539
2001-07-16,-56.422
2001-07-17,-9.816
2001-07-18,6.594
2001-07-19,11.58
2001-07-20,75.664
2001-07-23,-5.8
2001-07-24,-49.224
2001-07-25,-39.363
2001-07-26,-41.523
2001-07-27,-52.284
2001-07-30,-84.881
2001-07-31,-12.991
2001-08-01,94.894
2001-08-02,-49.397
2001-08-03,20.558
2001-08-06,-83.818
2001-08-07,73.376
2001-08-08,-19.949
2001-08-09,81.734
2001-08-10,55.586
2001-08-13,-1.174
2001-08-14,-35.38
2001-08-15,31.222
2001-08-16,-55.895
2001-08-17,29.971
2001-08-20,19.33
2001-08-21,9.834
2001-08-22,-53.253
2001-08-23,39.241
2001-08-24,-46.632
2001-08-27,-63.26
2001-08-28,69.379
2001-08-29,-3.65
2001-08-30,-5.794
2001-08-31,-23.813
2001-09-03,-43.518
2001-09-04,89.04
2001-09-05,-8.504
2001-09-06,-18.636
2001-09-07,-85.471
2001-09-10,86.955
2001-09-11,14.374
2001-09-12,72.673
2001-09-13,-28.303
2001-09-14,-60.681
2001-09-17,-49.304
2001-09-18,60.024
2001-09-19,68.943
2001-09-20,-26.147
2001-09-21,-11.565
2001-09-24,-26.454
2001-09-25,-22.692
2001-09-26,-53.146
2001-09-27,-3.345
2001-09-28,-17.493
2001-10-08,-60.233
2001-10-09,82.209
2001-10-10,-79.734
2001-10-11,-56.725
2001-10-12,88.026
2001-10-15,8.003
2001-10-16,-60.633
2001-10-17,-17.888
2001-10-18,-64.597
2001-10-19,-68.334
2001-10-22,-36.468
2001-10-23,56.401
2001-10-24,-0.616
2001-10-25,-40.022
2001-10-26,25.117
2001-10-29,60.958
2001-10-30,-49.866
2001-10-31,44.224
2001-11-01,47.413
2001-11-02,-20.723
2001-11-05,-22.51
2001-11-06,-4.769
2001-11-07,-88.275
2001-11-08,90.797
2001-11-09,79.166
2001-11-12,-8.328
2001-11-13,35.275
2001-11-14,11.623
2001-11-15,13.713
2001-11-16,-85.848
2001-11-19,77.732
2001-11-20,72.28
2001-11-21,50.084
2001-11-22,58.394
2001-11-23,-2.402
2001-11-26,7.344
2001-11-27,73.998
2001-11-28,34.239
2001-11-29,9.328
2001-11-30,68.202
2001-12-03,48.637
2001-12-04,39.184
2001-12-05,-50.861
2001-12-06,73.891
2001-12-07,-3.401
2001-12-10,8.332
2001-12-11,-50.012
2001-12-12,-34.886
2001-12-13,-61.042
2001-12-14,-20.962
2001-12-17,-14.948
2001-12-18,56.86
2001-12-19,-42.212
2001-12-20,-83.681
2001-12-21,54.29
2001-12-24,-68.174
2001-12-25,20.791
2001-12-26,62.754
2001-12-27,-11.122
2001-12-28,37.389
2001-12-31,3.613
2002-01-04,-66.512
2002-01-07,-22.776
2002-01-08,-44.824
2002-01-09,-41.866
2002-01-10,60.229
2002-01-11,-31.853
2002-01-14,-50.559
2002-01-15,-16.681
2002-01-16,54.637
2002-01-17,-90.413
2002-01-18,31.833
2002-01-21,-65.212
2002-01-22,17.557
2002-01-23,97.28
2002-01-24,70.61
2002-01-25,42.53
2002-01-28,-95.98
2002-01-29,94.262
2002-01-30,51.766
2002-01-31,87.308
2002-02-01,-15.243
2002-02-04,93.268
2002-02-05,29.344
2002-02-06,-74.698
2002-02-07,91.562
2002-02-08,-53.854
2002-02-25,-13.622
2002-02-26,37.267
2002-02-27,21.127
2002-02-28,-32.033
2002-03-01,-51.563
2002-03-04,95.351
2002-03-05,92.709
2002-03-06,37.677
2002-03-07,93.782
2002-03-08,50.015
2002-03-11,70.695
2002-03-12,-40.13
2002-03-13,-35.188
2002-03-14,94.032
2002-03-15,-76.015
2002-03-18,-50.652
2002-03-19,88.395
2002-03-20,48.343
2002-03-21,14.991
2002-03-22,-31.534
2002-03-25,43.799
2002-03-26,-54.41
2002-03-27,47.482
2002-03-28,-6.429
2002-03-29,-87.188
2002-04-01,64.835
2002-04-02,-41.648
2002-04-03,22.406
2002-04-04,92.018
2002-04-05,-28.531
2002-04-08,29.606
2002-04-09,82.109
2002-04-10,18.799
2002-04-11,-54.217
2002-04-12,57.099
2002-04-15,-13.432
2002-04-16,-8.5
2002-04-17,9.353
2002-04-18,-55.174
2002-04-19,38.66
2002-04-22,-0.781
2002-04-23,-4.782
2002-04-24,-33.105
2002-04-25,27.303
2002-04-26,82.08
2002-04-29,81.349
2002-04-30,0.72
2002-05-08,-22.764
2002-05-09,33.958
2002-05-10,-29.109
2002-05-13,-18.884
2002-05-14,-14.744
2002-05-15,-44.733
2002-05-16,-75.024
2002-05-17,69.451
2002-05-20,-34.447
2002-05-21,59.708
2002-05-22,-42.131
2002-05-23,-14.448
2002-05-24,-50.282
2002-05-27,21.524
2002-05-28,9.99
2002-05-29,-71.097
2002-05-30,21.976
2002-05-31,-25.547
2002-06-03,-59.455
2002-06-04,33.476
2002-06-05,-64.021
2002-06-06,99.17
2002-06-07,59.258
2002-06-10,-6.564
2002-06-11,77.939
2002-06-12,-32.184
2002-06-13,-46.401
2002-06-14,-46.13
2002-06-17,59.351
2002-06-18,92.751
2002-06-19,-53.106
2002-06-20,64.663
2002-06-21,98.518
2002-06-24,-0.054
2002-06-25,-21.423
2002-06-26,65.09
2002-06-27,39.16
2002-06-28,2.065
2002-07-01,-55.109
2002-07-02,69.185
2002-07-03,17.187
2002-07-04,-40.129
2002-07-05,56.456
2002-07-08,43.481
2002-07-09,-6.597
2002-07-10,-68.8
2002-07-11,8.168
2002-07-12,5.463
2002-07-15,-9.638
2002-07-16,10.641
2002-07-17,49.574
2002-07-18,6.72
2002-07-19,44.295
2002-07-22,-64.681
2002-07-23,-8.8
2002-07-24,-7.812
2002-07-25,-47.073
2002-07-26,-14.505
2002-07-29,57.436
2002-07-30,27.29
2002-07-31,-62.937
2002-08-01,39.873
2002-08-02,29.326
2002-08-05,-25.745
2002-08-06,75.753
2002-08-07,-6.919
2002-08-08,-39.605
2002-08-09,-29.624
2002-08-12,-0.948
2002-08-13,16.186
2002-08-14,62.606
2002-08-15,-49.68
2002-08-16,70.831
2002-08-19,-2.499
2002-08-20,90.525
2002-08-21,6.393
2002-08-22,53.177
2002-08-23,-9.723
2002-08-26,-30.766
2002-08-27,36.0
2002-08-28,3.395
2002-08-29,-34.962
2002-08-30,3.792
2002-09-02,28.872
2002-09-03,28.756
2002-09-04,-48.252
2002-09-05,-66.148
2002-09-06,-43.007
2002-09-09,-32.505
2002-09-10,24.213
2002-09-11,-22.907
2002-09-12,39.745
2002-09-13,10.195
2002-09-16,-64.353
2002-09-17,12.928
2002-09-18,-41.161
2002-09-19,84.195
2002-09-20,-37.864
2002-09-23,33.86
2002-09-24,-31.901
2002-09-25,20.39
2002-09-26,-18.807
2002-09-27,-42.398
2002-10-08,-28.155
2002-10-09,-93.343
2002-10-10,12.007
2002-10-11,10.575
2002-10-14,67.882
2002-10-15,-24.233
2002-10-16,56.692
2002-10-17,-67.435
2002-10-18,59.001
2002-10-21,55.19
2002-10-22,82.487
2002-10-23,20.404
2002-10-24,-37.285
2002-10-25,-58.28
2002-10-28,-55.698
2002-10-29,50.848
2002-10-30,4.282
2002-10-31,-20.352
2002-11-01,33.288
2002-11-04,62.626
2002-11-05,91.994
2002-11-06,-15.661
2002-11-07,-6.878
2002-11-08,-94.455
2002-11-11,-56.833
2002-11-12,-46.658
2002-11-13,26.667
2002-11-14,-59.831
2002-11-15,60.813
2002-11-18,-36.307
2002-11-19,65.885
2002-11-20,-81.655
2002-11-21,-64.594
2002-11-22,7.751
2002-11-25,45.333
2002-11-26,-81.745
2002-11-27,73.047
2002-11-28,97.36
2002-11-29,66.439
2002-12-02,-91.785
2002-12-03,88.635
2002-12-04,-6.813
2002-12-05,-17.13
2002-12-06,0.23
2002-12-09,-2.684
2002-12-10,-52.56
2002-12-11,2.768
2002-12-12,53.153
2002-12-13,89.203
2002-12-16,53.134
2002-12-17,67.004
2002-12-18,-31.733
2002-12-19,44.973
2002-12-20,70.252
2002-12-23,0.322
2002-12-24,20.621
2002-12-25,-36.303
2002-12-26,-84.603
2002-12-27,29.985
2002-12-30,-38.809
2002-12-31,-14.436
2003-01-02,-44.406
2003-01-03,53.709
2003-01-06,36.383
2003-01-07,5.396
2003-01-08,93.31
2003-01-09,96.447
2003-01-10,-29.449
2003-01-13,40.898
2003-01-14,99.695
2003-01-15,-28.081
2003-01-16,88.925
2003-01-17,-29.948
2003-01-20,52.401
2003-01-21,-68.535
2003-01-22,62.401
2003-01-23,-30.983
2003-01-24,81.608
2003-01-27,66.997
2003-01-28,32.747
2003-01-29,-8.901
2003-02-10,-51.256
2003-02-11,87.265
2003-02-12,85.254
2003-02-13,-27.325
2003-02-14,52.399
2003-02-17,-35.286
2003-02-18,23.725
2003-02-19,72.51
2003-02-20,-14.194
2003-02-21,-81.215
2003-02-24,43.236
2003-02-25,92.647
2003-02-26,4.403
2003-02-27,-9.955
2003-02-28,-3.729
2003-03-03,57.548
2003-03-04,-3.529
2003-03-05,-18.872
2003-03-06,-65.389
2003-03-07,-10.541
2003-03-10,-74.796
2003-03-11,31.948
2003-03-12,41.336
2003-03-13,-24.007
2003-03-14,35.518
2003-03-17,9.489
2003-03-18,-35.168
2003-03-19,47.687
2003-03-20,-9.537
2003-03-21,72.349
2003-03-24,23.174
2003-03-25,-44.248
2003-03-26,-7.658
2003-03-27,95.079
2003-03-28,-1.814
2003-03-31,80.727
2003-04-01,45.474
2003-04-02,9.578
2003-04-03,-32.881
2003-04-04,53.604
2003-04-07,1.512
2003-04-08,33.771
2003-04-09,76.75
2003-04-10,6.503
2003-04-11,75.331
2003-04-14,71.473
2003-04-15,13.845
2003-04-16,-19.449
2003-04-17,29.807
2003-04-18,-18.649
2003-04-21,-53.741
2003-04-22,15.163
2003-04-23,-41.207
2003-04-24,-68.087
2003-04-25,-23.04
2003-04-28,78.842
2003-04-29,-25.863
2003-04-30,6.575
2003-05-12,36.069
2003-05-13,-64.07
2003-05-14,92.223
2003-05-15,84.42
2003-05-16,14.307
2003-05-19,13.104
2003-05-20,-30.699
2003-05-21,-4.749
2003-05-22,56.211
2003-05-23,53.691
2003-05-26,39.655
2003-05-27,1.024
2003-05-28,-36.633
2003-05-29,59.647
2003-05-30,26.583
2003-06-02,22.57
2003-06-03,-42.876
2003-06-04,37.356
2003-06-05,-56.464
2003-06-06,-54.84
2003-06-09,-23.515
2003-06-10,54.856
2003-06-11,86.26
2003-06-12,-8.881
2003-06-13,35.163
2003-06-16,-7.667
2003-06-17,-7.58
2003-06-18,14.16
2003-06-19,-49.842
2003-06-20,-30.639
2003-06-23,-48.429
2003-06-24,27.99
2003-06-25,-39.707
2003-06-26,50.774
2003-06-27,-61.399
2003-06-30,4.13
2003-07-01,10.506
2003-07-02,56.88
2003-07-03,21.32
2003-07-04,-3.85
2003-07-07,28.668
2003-07-08,52.436
2003-07-09,-23.02
2003-07-10,89.192
2003-07-11,-8.729
2003-07-14,-5.534
2003-07-15,21.803
2003-07-16,37.085
2003-07-17,40.675
2003-07-18,-77.936
2003-07-21,-5.507
2003-07-22,1.67
2003-07-23,32.225
2003-07-24,-24.557
2003-07-25,-68.846
2003-07-28,14.302
2003-07-29,42.833
2003-07-30,27.654
2003-07-31,2.634
2003-08-01,16.245
2003-08-04,82.56
2003-08-05,4.627
2003-08-06,-10.5
2003-08-07,19.046
2003-08-08,-54.489
2003-08-11,63.896
2003-08-12,45.517
2003-08-13,-56.833
2003-08-14,-6.701
2003-08-15,7.417
2003-08-18,6.233
2003-08-19,28.935
2003-08-20,-24.146
2003-08-21,22.798
2003-08-22,0.72
2003-08-25,-34.411
2003-08-26,43.169
2003-08-27,-6.876
2003-08-28,-21.06
2003-08-29,47.97
2003-09-01,93.059
2003-09-02,-3.316
2003-09-03,27.357
2003-09-04,-3.391
2003-09-05,-30.49
2003-09-08,10.931
2003-09-09,-27.492
2003-09-10,26.071
2003-09-11,1.05
2003-09-12,-79.713
2003-09-15,-8.868
2003-09-16,44.1
2003-09-17,-46.68
2003-09-18,31.915
2003-09-19,12.875
2003-09-22,-21.66
2003-09-23,59.673
2003-09-24,16.404
2003-09-25,-62.194
2003-09-26,-6.753
2003-09-29,-53.717
2003-09-30,45.501
2003-10-08,53.328
2003-10-09,-31.304
2003-10-10,95.021
2003-10-13,-12.831
2003-10-14,-22.679
2003-10-15,-25.075
2003-10-16,-49.977
2003-10-17,33.173
2003-10-20,-24.235
2003-10-21,27.627
2003-10-22,92.171
2003-10-23,-47.287
2003-10-24,-5.112
2003-10-27,-33.772
2003-10-28,29.727
2003-10-29,-24.962
2003-10-30,-30.527
2003-10-31,49.344
2003-11-03,67.592
2003-11-04,84.909
2003-11-05,18.138
2003-11-06,-55.672
2003-11-07,-50.165
2003-11-10,42.423
2003-11-11,15.388
2003-11-12,-62.457
2003-11-13,56.259
2003-11-14,62.879
2003-11-17,-4.13
2003-11-18,-76.589
2003-11-19,89.315
2003-11-20,97.724
2003-11-21,-46.539
2003-11-24,96.683
2003-11-25,11.88
2003-11-26,39.059
2003-11-27,-64.101
2003-11-28,37.299
2003-12-01,92.891
2003-12-02,-16.413
2003-12-03,35.385
2003-12-04,36.159
2003-12-05,5.251
2003-12-08,-49.075
2003-12-09,43.777
2003-12-10,63.475
2003-12-11,4.756
2003-12-12,16.374
2003-12-15,-2.435
2003-12-16,-24.978
2003-12-17,-37.468
2003-12-18,13.189
2003-12-19,-4.833
2003-12-22,86.955
2003-12-23,7.266
2003-12-24,49.109
2003-12-25,-3.358
2003-12-26,-8.303
2003-12-29,-25.26
2003-12-30,45.304
2003-12-31,-43.489
2004-01-02,62.667
2004-01-05,72.606
2004-01-06,35.08
2004-01-07,38.837
2004-01-08,61.674
2004-01-09,-38.763
2004-01-12,72.93
2004-01-13,4.905
2004-01-14,-27.928
2004-01-15,-6.472
2004-01-16,31.059
2004-01-29,77.756
2004-01-30,-23.787
2004-02-02,4.967
2004-02-03,50.059
2004-02-04,83.328
2004-02-05,28.74
2004-02-06,-28.923
2004-02-09,86.832
2004-02-10,-9.033
2004-02-11,0.603
2004-02-12,-4.522
2004-02-13,-26.384
2004-02-16,93.076
2004-02-17,26.747
2004-02-18,36.258
2004-02-19,4.085
2004-02-20,28.188
2004-02-23,-58.822
2004-02-24,-5.638
2004-02-25,-70.842
2004-02-26,14.609
2004-02-27,60.244
2004-03-01,63.075
2004-03-02,-9.964
2004-03-03,-50.625
2004-03-04,58.025
2004-03-05,-32.391
2004-03-08,-56.723
2004-03-09,-8.222
2004-03-10,79.62
2004-03-11,48.921
2004-03-12,5.321
2004-03-15,89.087
2004-03-16,20.818
2004-03-17,11.596
2004-03-18,-63.178
2004-03-19,85.621
2004-03-22,28.249
2004-03-23,-16.165
2004-03-24,-16.244
2004-03-25,16.418
2004-03-26,-3.227
2004-03-29,-35.021
2004-03-30,22.005
2004-03-31,49.685
2004-04-01,44.371
2004-04-02,31.768
2004-04-05,12.016
2004-04-06,43.388
2004-04-07,-1.143
2004-04-08,-5.797
2004-04-09,-74.444
2004-04-12,34.082
2004-04-13,-18.528
2004-04-14,-43.979
2004-04-15,-49.312
2004-04-16,28.456
2004-04-19,-30.007
2004-04-20,-3.88
2004-04-21,-10.165
2004-04-22,30.792
2004-04-23,-52.431
2004-04-26,-1.067
2004-04-27,-32.565
2004-04-28,20.697
2004-04-29,-57.914
2004-04-30,22.101
2004-05-10,-70.935
2004-05-11,36.887
2004-05-12,97.467
2004-05-13,-11.303
2004-05-14,-59.573
2004-05-17,-3.712
2004-05-18,56.265
2004-05-19,-9.19
2004-05-20,-25.676
2004-05-21,27.592
2004-05-24,-25.664
2004-05-25,-70.734
2004-05-26,42.594
2004-05-27,93.977
2004-05-28,-29.34
2004-05-31,50.391
2004-06-01,90.254
2004-06-02,-10.51
2004-06-03,-38.976
2004-06-04,11.064
2004-06-07,-45.47
2004-06-08,-49.402
2004-06-09,-65.787
2004-06-10,3.211
2004-06-11,-0.003
2004-06-14,-71.041
2004-06-15,80.31
2004-06-16,38.585
2004-06-17,-56.811
2004-06-18,-24.913
2004-06-21,61.72
2004-06-22,57.761
2004-06-23,-32.246
2004-06-24,-33.747
2004-06-25,-61.421
2004-06-28,-28.038
2004-06-29,47.361
2004-06-30,-37.741
2004-07-01,96.051
2004-07-02,14.391
2004-07-05,21.452
2004-07-06,36.186
2004-07-07,-45.444
2004-07-08,10.623
2004-07-09,-32.174
2004-07-12,-75.688
2004-07-13,16.17
2004-07-14,-7.532
2004-07-15,51.039
2004-07-16,93.438
2004-07-19,3.958
2004-07-20,-31.268
2004-07-21,13.089
2004-07-22,-75.799
2004-07-23,48.908
2004-07-26,-42.253
2004-07-27,-24.23
2004-07-28,22.372
2004-07-29,74.037
2004-07-30,-67.565
2004-08-02,-12.717
2004-08-03,7.877
2004-08-04,94.08
2004-08-05,-58.892
2004-08-06,11.795
2004-08-09,14.664
2004-08-10,36.793
2004-08-11,-62.986
2004-08-12,-26.198
2004-08-13,14.325
2004-08-16,-29.919
2004-08-17,31.396
2004-08-18,-6.528
2004-08-19,-38.393
2004-08-20,25.516
2004-08-23,-20.08
2004-08-24,83.541
2004-08-25,-16.287
2004-08-26,-18.279
2004-08-27,-48.183
2004-08-30,32.655
2004-08-31,21.63
2004-09-01,-45.043
2004-09-02,62.312
2004-09-03,10.186
2004-09-06,-8.722
2004-09-07,25.051
2004-09-08,-33.609
2004-09-09,-64.725
2004-09-10,41.108
2004-09-13,-57.104
2004-09-14,95.266
2004-09-15,98.633
2004-09-16,54.143
2004-09-17,98.61
2004-09-20,97.348
2004-09-21,-18.839
2004-09-22,-47.843
2004-09-23,86.154
2004-09-24,-76.617
2004-09-27,-60.831
2004-09-28,25.603
2004-09-29,-52.134
2004-09-30,-56.119
2004-10-08,80.708
2004-10-11,4.266
2004-10-12,-26.492
2004-10-13,9.281
2004-10-14,-90.657
2004-10-15,12.401
2004-10-18,25.013
2004-10-19,-4.922
2004-10-20,-8.354
2004-10-21,-35.014
2004-10-22,31.164
2004-10-25,-43.645
2004-10-26,54.423
2004-10-27,46.903
2004-10-28,-12.315
2004-10-29,16.852
2004-11-01,-27.518
2004-11-02,12.388
2004-11-03,81.956
2004-11-04,-76.958
2004-11-05,-15.741
2004-11-08,20.35
2004-11-09,24.238
2004-11-10,99.56
2004-11-11,-38.071
2004-11-12,14.663
2004-11-15,62.615
2004-11-16,-11.492
2004-11-17,-29.433
2004-11-18,81.787
2004-11-19,35.529
2004-11-22,43.451
2004-11-23,-1.243
2004-11-24,-38.096
2004-11-25,-2.696
2004-11-26,20.986
2004-11-29,-49.626
2004-11-30,34.685
2004-12-01,-3.002
2004-12-02,38.453
2004-12-03,25.381
2004-12-06,21.042
2004-12-07,-43.136
2004-12-08,-18.414
2004-12-09,43.622
2004-12-10,-57.108
2004-12-13,-3.303
2004-12-14,-21.899
2004-12-15,1.513
2004-12-16,-20.931
2004-12-17,-22.851
2004-12-20,-18.179
2004-12-21,17.468
2004-12-22,95.723
2004-12-23,-76.767
2004-12-24,27.626
2004-12-27,-4.761
2004-12-28,-3.224
2004-12-29,-13.22
2004-12-30,0.479
2004-12-31,-43.617
2005-01-04,-26.086
2005-01-05,73.102
2005-01-06,-41.438
2005-01-07,39.974
2005-01-10,64.072
2005-01-11,29.006
2005-01-12,16.826
2005-01-13,32.481
2005-01-14,-28.423
2005-01-17,-10.598
2005-01-18,52.261
2005-01-19,10.244
2005-01-20,-18.44
2005-01-21,61.789
2005-01-24,-11.355
2005-01-25,-7.208
2005-01-26,-29.993
2005-01-27,-55.805
2005-01-28,-38.651
2005-01-31,-47.775
2005-02-01,1.343
